Prefix,Title
EEK,"Semiconductor Technology and Operations Project I,Semiconductor Technology and Operations Project II,Integrated Circuit Technology and Design Methodology,Heterogeneous Integration, IC Packaging and Testing,Photonic Integrated Circuits,Bioelectronics,Semiconductor Materials and Devices,Semiconductor Yield and Failure Analysis,SiPh Product, Test Characterization & Yield Eng,Silicon Microsystem Design and Fabrication,Evolution and Transformation of Semiconductor Industry,Semiconductor Supply Chain and Demand Management,Semiconductor Technology and Operations Internship"
EG,"Statics And Mechanics Of Materials,Statics and Mechanics of Materials,Design and Make,Design and Make,Engineering Co-Op Immersion Programme I,Pathways to Engineering Leadership,User-Centred Collaborative Design,Value Creation in Innovation,Engineering Design in Topical Engineering Challenges,Fundamentals of Systems Design,Introduction to Space Systems,Engineering Professionalism,Liveable Cities,InnoVenture - Leadership & Innovation Challenge,TIP : Business Incubation,Innovation Programme,Undergraduate Research Opportunities Programme,Independent Work,Independent Work,Engineering Work Experience Internship,Engineering Co-Op Immersion Programme II,Aspirational Project I,Aspirational Project II,Ideas to Proof-of-Concept,Industrial Attachment Programme,Vacation Internship Programme,Industrial Attachment,Industrial Attachment,Industrial Attachment,Industrial Attachment,Vacation Industrial Attachment,Energy Storage Systems for Electric Grids,DCP Dissertation,Ideas to Start-up,Engineering Systems Design,Design Thinking and Product Development,Major Design Project,Research Methodology & Ethics,Information Literacy Skills for Research"
EL,"The Nature of Language,Structure of Sentences and Meanings,Sound Patterns in Language,Historical Variation in English,Social Variation in English,Language and Cognition,Speech and Language Disorders,Bilingualism,Statistics for Linguistics,Department Exchange Course,Syntax,Phonetics and Phonology,Semantics and Pragmatics,Discourse Structure,Morphology,Psycholinguistics,Introduction to the Neurocognition of Language,Language, Culture, and Mind,Topics in the Psychology of Language,Language in Contact,Language Documentation,Language and the Internet,Literary Stylistics,Cinematic Discourse and Language,Phonology,Phonetics,Language, Society and Identity,Language Planning and Policy,Critical Discourse Analysis,Media, Discourse and Society,English in Southeast Asia,Language and the Workplace,The Sociolinguistics of Humour: Jokes and Comedies,Language as Interaction,Foundations in Applied Linguistics,FASS Undergraduate Research Opportunity (UROP),FASS Undergraduate Research Opportunity (UROP),Topics in English Language,Grammaticalisation,The Lexicon of English,Advanced Syntax,Advanced Syntax,Semantics,Semantics,Pragmatics,Pragmatics,Language Acquisition & Language Development,Language Acquisition & Language Development,Grammar Writing,Grammar Writing,Field Methods in Linguistics,Field Methods in Linguistics,Language Typology,Language Typology,Lexicology and Lexicography,Lexicology and Lexicography,Narrative Structures,Narrative Structures,Stylistics and Drama,Stylistics and Drama,Social Thought in Language,Social Thought in Language,Interactional Discourse,Interactional Discourse,Language, Gender and Sexual Identities,Language, Gender and Sexual Identities,Language, Ideology and Power,Language, Ideology and Power,English as a World Language,English as a World Language,Multilingualism,Multilingualism,English in the Public Sphere: the Politics of Language,English in the Public Sphere: the Politics of Language,Metapragmatics and Language Ideology,Metapragmatics and Language Ideology,Honours Thesis,Honours Thesis,Independent Study,Independent Study,Department Exchange Course,Topics in English Language,Lexicalist Theories of Syntax,Lexicalist Theories of Syntax,Experimental Syntax,Experimental Syntax,World Englishes,World Englishes,Grammar and Language Processing,Grammar and Language Processing,Topics in English Language,Grammatical Analysis,Grammatical Analysis,Phonetics and Phonology,Phonetics and Phonology,Language in Society,Language in Society,The Grammar of Modern English,The Grammar of Modern English,Sociophonetics,Sociophonetics,Linguistic Typology,Linguistic Typology,Topics in Syntax,Topics in Syntax,Advanced Psycholinguistics,Advanced Psycholinguistics,Contact Languages,Contact Languages,History of English,History of English,Corpus Linguistics,Corpus Linguistics,The Linguistic Analysis of Literature,The Linguistic Analysis of Literature,Approaches to Discourse,Approaches to Discourse,Language Variation and Change,Language Variation and Change,Textual Construction of Knowledge,Textual Construction of Knowledge,Language, Gender and Sexuality,Language, Gender and Sexuality,Second Language Writing,Second Language Writing,Explorations in Applied Linguistics,Explorations in Applied Linguistics,Independent Study,Independent Study,Topics in English Language and Linguistics,Independent Study,Graduate Research Seminar,Topics in Grammatical Theory,Topics in Language and Cognition,Topics in Language and Society,English in Multilingual Societies,Topics in Applied Linguistics"
ELC,"Approaches to Language,The Grammar of Modern English,Sociophonetics,Linguistic Typology,Topics in Syntax,Advanced Psycholinguistics,Second Language Acquisition and Processing,Contact Languages,History of English,Corpus Linguistics,Experimental Methods in Grammatical Analyses,The Linguistic Analysis of Literature,Cognitive Linguistics,Approaches to Discourse,Language Variation and Change,Textual Construction of Knowledge,Language, Gender and Sexuality,Second Language Writing,Onomastics: the Study of Names,Explorations in Applied Linguistics"
EN,"An Introduction to Literary Studies,Backgrounds to Western Literature and Culture,Critical Reading,Introduction to Film Studies,Late Medieval Literature and Culture,The Arts and Social Justice,Gender and Sexuality in Literature,How We Read Today,Literature and Culture in Ancient Rome,Poetry and Poetics,Writing With Theory: Race, Gender, Ecology,Fictions of the Supernatural,The Marvelous World of Journey to the West (in English),Writing About Literature,Love's Word: Reading across Literature and Philosophy,Secrets of the Renaissance Library,Twenty-First Century British Fiction,From the “Age of Epic” to the “Age of TV”,The English Renaissance,The Eighteenth Century,Nineteenth Century Literature & Culture,The Twentieth Century,Shakespeare,Romanticism,Women Novelists: 1750-1800,Shakespeare in His Time and Ours,American Literature I,American Literature II,Asian American Literature,Literature and Psychoanalysis,History of Film,S/F: Science Fiction and Fantasy,Gender and Literature,Feminism: Text & Theory,Literature and the other Arts,Introduction to Critical Theory,Reading the Horror Film,Introduction to Visual Culture: Art, Film and Media,Literature and Philosophy,The Genealogy of Affect Theory,Strange Times: Issues in Contemporary Literature,Worldly Words: Written Image and Visual Text,European Literature I,Postcolonial/Postmodern Writing,Singapore Literature in Context,In Other Wor(l)ds: Post ‐colonial Theory & Literature,Christianity and Contemporary Literature/Culture,Modern Drama,Tragedy,Southeast Asian Literatures in English,Literature, Media and Theory,FASS Undergraduate Research Opportunity (UROP),FASS Undergraduate Research Opportunity (UROP),Topics in English Literature,History of Non-Western Film,Reader-Responsibility,Sick Lit: Illness in Literature,Topics in the Seventeenth Century,Topics in the Seventeenth Century,Topics in the Eighteenth Century,Topics in the Eighteenth Century,Topics in the Nineteenth Century,Topics in the Nineteenth Century,Topics in the Twentieth Century,Topics in the Twentieth Century,English Women Novelists 1800‐1900,English Women Novelists 1800-1900,Topics in American Literature,Topics in American Literature,Topics in American Culture,Topics in American Culture,Pynchon and the Poetics of Information,Pynchon and the Poetics of Information,Utopias and Dystopias,Utopias and Dystopias,Modern Critical Theory,Modern Critical Theory,Topics in Cultural Studies,Topics in Cultural Studies,Film Theory,Film Theory,Disclosure, Discovery and Detec/xtive Fiction,Disclosure, Discovery and Detec/xtive Fiction,Autotheory and Contemporary Autofiction,Autotheory and Contemporary Autofiction,Jonathan Swift,Jonathan Swift,The Ancient Greek and Roman Worlds in Cinema,The Ancient Greek and Roman Worlds in Cinema,Metafictions and the Novel,Metafictions and the Novel,Writing Global India: (Dis)Possessions of Capitalism,Writing Global India: (Dis)Possessions of Capitalism,Topics in European Literature,Topics in European Literature,Modern Poetry,Modern Poetry,Approaches to World Literature: Critical Realism,Approaches to World Literature: Critical Realism,South Asian Literatures in English,South Asian Literatures in English,Literature and Ecology,Literature and Ecology,World Literature: Theories, Methods, Texts,World Literature: Theories, Methods, Texts,Ovid the Innovator: Advanced Ancient Roman Poetry,Ovid the Innovator: Advanced Ancient Roman Poetry,Research Workshop,Research Workshop,Honours Thesis,Honours Thesis,Independent Study,Independent Study,Topics in English Literature,Usurpation and Authority, 1558-1674,Usurpation and Authority, 1558-1674,The Short Story as a Global Form,The Short Story as a Global Form,Topics in English Literature,Ideological Approaches to Literature,Ideological Approaches to Literature,Politics and Literature,Politics and Literature,The Literature of the Asian Diaspora,The Literature of the Asian Diaspora,Twentieth Century Literature,Twentieth Century Literature,Literature of the Anglophone Chinese Diaspora,Literature of the Anglophone Chinese Diaspora,Visions of China in European Literary Culture,Visions of China in European Literary Culture,Literature and New Worlds: 1590-1750,Literature and New Worlds: 1590-1750,Writing Women,Writing Women,The Birth of the Critic,The Birth of the Critic,Shakespeare in Culture and the New Millennium,Shakespeare in Culture and the New Millennium,Gothic Properties,Gothic Properties,Victorian Literature: History, Politics, Culture,Victorian Literature: History, Politics, Culture,Literary Rejects,Literary Rejects,Literary Studies: Overview and Writing Practices,Literary Studies: Overview and Writing Practices,Movies, Spectatorship and Subjectivity,Movies, Spectatorship and Subjectivity,Writing in the Aftermath,Writing in the Aftermath,Rethinking Failure in the 21st Century,Rethinking Failure in the 21st Century,Independent Study,Topics in Literary Studies,Literature and the Environment,Literature and the Environment,Topics in Cultural Studies,Topics in Cultural Studies,Screen Culture in Southeast Asia,Screen Culture in Southeast Asia,Advanced Critical Reading,Independent Study,Graduate Research Seminar,Topics in the New Literatures,Topics in Literary History,Advanced Topics in Cultural Studies"
ENC,"Literary Studies: Overview and Writing Practices,Survey of the Discipline: Methods and Approaches,Global Anglophone Literature,Ideological Approaches to Literature,Politics and Literature,Twentieth Century Literature,Literature of the Anglophone Chinese Diaspora,Visions of China in European Literary Culture,Literature and New Worlds: 1590-1750,Writing Women,Shakespeare in Culture and the New Millennium,Victorian Literature: History, Politics, Culture,Literary Rejects,Movies, Spectatorship and Subjectivity,Writing in the Aftermath,Writing the Body: Literature, Culture, and Theory,Technological Imaginary: Cultural and Media Theory,Postcolonial to Decolonial Theory and Literature,Independent Study,Literature and the Environment,Screen Culture in Southeast Asia"
ENV,"Environmental Studies: An Interdisciplinary Overview,Global Environmental Change,Environmental Law,The Environment and Public Health,Basic UROP in Environmental Studies I,Basic UROP in Environmental Studies I (REx),Basic UROP in Environmental Studies II,Basic UROP in Environmental Studies II (REx),Methods and Techniques for Environmental Studies,Communications for Environmental Studies,FOS Undergraduate Professional Internship Programme 1ST,FOS Undergraduate Professional Internship Programme 2S1,FOS Undergraduate Professional Internship Programme 2S2,Environmental Challenges in Asia,Field Course in Environmental Studies,Socio-Ecological Assessment of Environmental Impacts,Urban-Environmental Field Studies,Environmental Studies Internship Programme,Environmental Studies Internship Programme,Evaluating Environmental Sustainability,Advanced UROP in Environmental Studies I,Advanced UROP in Environmental Studies I (REx),Advanced UROP in Environmental Studies II,Advanced UROP in Environmental Studies II (REx),FOS Undergraduate Professional Internship Programme 2ST,FOS Undergraduate Professional Internship Programme 3S1,FOS Undergraduate Professional Internship Programme 3S2,Exchange Enrichment Level 3000 Course,Environmental Management in Singapore,FOS Undergraduate Professional Internship Programme 3ST,FOS Undergraduate Professional Internship Programme 4S1,FOS Undergraduate Professional Internship Programme 4S2"
ES,"Foundation Academic English,English for Academic Purposes,Critical Thinking And Writing,Business Communication for Leaders (BBA),Professional Communication,Critical Thinking And Writing,Critique and Communication of Thinking and Design,Communicating in the Information Age,Graduate English I,Graduate English II"
ESE,"Environmental Engineering Fundamentals,Principles & Practice in Infrastructure and Environment,Chemistry for an Environmentally Sustainable Future,Environmental Challenges in the Anthropocene,Environmental Engineering Principles and Practice,Principles & Practice in Environmental Monitoring,Water Science & Technology,Water Quality Engineering,Integrated Project for Environmental Sustainability,Resource Management and Circular Economy,Air Quality in Changing Environments,Microbiology in Natural and Built Environments,Sustainable Urban Water Technologies,Wastewater Biotechnology,Water & Wastewater Engineering 2,Treatment Plant Hydraulics,Membrane Tech In Env Applns,Bioenergy,Urban Water Engineering & Management,Energy Systems and Climate Change Mitigation,Environmental Forensics,Environmental Impact Assessment,Environmental Applications of Adsorption,Design Project,Design Project,B.Eng. Dissertation,Final Year Project,B. Eng. Dissertation,Exchange Unrestricted Elective 4,Environmental Engineering Principles,Environmental Engineering Principles,Environmental Physical Process Analysis,Environmental Chemical Processes Analysis,Research Project,Industrial Attachment,Air Pollution Control Technology,Technologies for Air Quality Control,Air Pollution Control Technology,Air Quality Engineering,Aerosol Science and Technology,Toxic and Hazardous Waste Management,Bioremediation of Hazardous Chemicals in Soil & Water,Toxic and Hazardous Waste Management,Physico-Chemical Treatment for Hazardous Chemicals,Sludge and Solid Waste Management,Environmental Microbiology and Biotechnology,Water Quality Management,Industrial Wastewater Control,Physico-Chemical Treatment for Industrial Wastewater,Industrial Wastewater Control,Biotechnologies for Industrial Wastewater Control,Water Reclamation Engineering, Practice & Mgt,Technologies for Water Reclamation and Reuse,Applications in Water Reclamation and Reuse,Biological Treatment Processes,Water Treatment Processes,Membrane Treatment Process Modelling,Membrane Technology for Water Management,Environmental Risk Assessment,Environmental Management Systems,Environmental Management Systems,Green Catalysis,Heavy Metals in the Environment,Industrial Attachment,Meta-data for environmental ecosystems,Topics in Environmental Engineering,Topics in Environmental Engineering: Chem. & Lab Safety,Chem. & Lab Safety,Topics in Env. Eng. - Sustainability in Practice,Topics in Env. Eng. - Environ Sys Planning & Analysis,Environmental Technology,Introduction to Environmental Engineering,Technologies in Environmental Engineering,Graduate Seminars,Environmental Fate of Organic Contaminant,Advanced Environmental Physical Process Analysis,Advanced Environmental Chemical Process Analysis,Advanced Environmental Microbiology and Biotechnology,Doctoral Seminars"
ESP,"Sensor System Electronics,Engineering Principles In-Action,Principles of Continua,Numerical Methods and Statistics,Design Project,Sensor System Electronics,From Making Nano to Probing Nano,Machine Learning in Engineering Science,Major Design Project I,Major Design Project 2,Optimisation of Energy Systems,Transport Phenomena in Energy Systems,Research Project,Research Project,Exchange Unrestricted Elective,Exchange Unrestricted Elective,Exchange Unrestricted Elective,Exchange Unrestricted Elective,Exchange Unrestricted Elective,Exchange Unrestricted Elective"
ETP,"Discovering Resilience and Purpose,Startup Ecosystem Exposure,Innovation & Enterprise Internship,Innovation & Enterprise Internship,Innovation & Enterprise Internship,Innovation & Enterprise Internship,Innovation & Enterprise Case Study & Analysis,Innovation & Enterprise Case Study & Analysis,Innovation & Enterprise Case Study & Analysis,Innovation & Enterprise Case Study & Analysis,Innovation & Enterprise Case Study & Analysis,Innovation & Enterprise Internship Practicum,Innovation & Enterprise Internship Practicum,Innovation & Enterprise Internship Practicum,Innovation & Enterprise Internship,Innovation & Enterprise Internship,Innovation & Enterprise Internship,Innovation & Enterprise Internship (Team),New Venture Creation,Independent Study Course in Entrepreneurship,Topics in Entrepreneurship,Topics in Entrepreneurship,Topics in Entrepreneurship,Globalization of New Ventures,Global Entrepreneurial Leadership,Topics in Entrepreneurship,Topics in Entrepreneurship,Entrepreneurial Finance,Global Entrepreneurial Marketing,Summer Programme in Entrepreneurship,Summer Programme in Entrepreneurship,Market Validation,Venture Creation: Process and Mindset,Seminars in Entrepreneurship,Innovation & Enterprise Internship,Innovation & Enterprise Internship,GRIP Venture Creation Practicum,Summer Programme in Entrepreneurship,Agile Venture Leadership,Intellectual Property Basics for Entrepreneurs,Intellectual Property Commercialization Practicum,New Venture Finance,Carbon Market & Sustainable Financing,Innovation & Enterprise Internship,GRIP Startup Practicum,Agile Venture Creation"
EX,"Exchange ULR Breadth,Exchange UEM (CEE),Exchange Technical Elective (CEE),Exchange Technical Elective (CEE),Unrestricted Elective Outside Major,Unrestricted Elective Outside Major,Environmental Technology"
FAS,"Writing Academically: Arts and Social Sciences,FASS Internship,FASS Internship II,FASS Extended Internship,FASS Extended Internship II,FASS Work Experience Internship,FASS Work Experience Internship II,Topics in Asian Studies (for FASStrack),Topics in Humanities (for FASStrack),Topics in Social Sciences (for FASStrack),The Chinese Economy: Institutions and Policies,Influence of Migration on Landscapes of Singapore,Media in Global Contexts,An Introduction to Psychology Through Illusion,Social Psychology, You, and Me,Cyberpsychology: Technology and the Human Mind,Cross-Cultural Dialogue: A Global Perspective,Cognitive Origin: The Evolution of Primate Intelligence,Chinese Economic History in a Global Context,Economy, Society and Government,Economic Analysis of Technology and Innovation Policy,Singapore, Asia and the Global Economy,FASS Industry Seminar,FASS Capstone Career Preparation"
FDP,"Special Mathematics Class 1, 2,Special Mathematics Class 3,Special Physics Class 1, 2,Special Physics Class 3,French Immersion Programme"
FE,"Derivatives And Fixed Income,Derivatives And Fixed Income,Equity Products and Exotics,Corporate Financing and Risk,Risk Analyses And Management,Risk Analyses And Management,Portfolio Theory And Investments,Financial Engineering Project,Graduate Internship in Financial Engineering,Stochastic Calculus and Quantitative Methods,Stochastic Calculus and Quantitative Methods,Programming and Advanced Numerical Methods,Programming and Advanced Numerical Methods,Term Structure and Interest Rate Derivatives,Financial Econometrics,Financial Econometrics,Research Methods in Finance,Seminar In Financial Engineering,Sustainable Finance Risk Management (SFRM),Quantitative Macroeconomics and Finance with Python,Introduction to Quantitative Investing,Seminar in Financial Product Innovations,Financial Technology Innovations Seminar,Seminar in Risk Management and Alternative Investment,Credit Risk,Credit Analytics Practicum,Trading Principles & Fundamentals,Advanced Derivatives Pricing,Introduction to Electronic Financial Market,Current Topics In Applied Risk Management,Machine Learning and FinTech,C++ in Financial Engineering,Commodities: Fundamentals and Modelling"
FIN,"Finance,Finance,Investment Analysis and Portfolio Management,Financial Statement Analysis,Topic in Finance,Topic in Finance,Topic in Finance,Measuring Success in Philanthropy and Impact Investing,Consumer Banking Wealth Management,Independent Study in Finance,Corporate Finance,Corporate Finance,Corporate Finance,Corporate Finance,Corporate Finance,Investment Analysis and Portfolio Management,Investment Analysis and Portfolio Management,Investment Analysis and Portfolio Management,Investment Analysis and Portfolio Management,Investment Analysis and Portfolio Management,Financial Markets,Financial Markets,Financial Markets,Financial Markets,Financial Markets,International Financial Management,Options and Futures,Bank Management,Financial Risk Management,Risk and Insurance,Financial Modelling,Fixed Income Securities,Value Investing in Asia,Household Finance,Household Finance,Household Finance,Financial Statement Analysis,Consumer Banking Wealth Management,Sustainability Risk Management,Independent Study in Finance,Independent Study in Finance (2 Units),Topics in Finance,TIF: Transaction Banking,TIF: China’s Capital Markets,TIF: Foreign Exchange Trading,TIF: Physical Commodity Markets and Assets,Topics in Finance,Topics in Finance,Topics in Finance,SIF: Applied Investment Valuation,Seminars in Finance,Seminars in Finance,Advanced Independent Study in Finance,Advanced Independent Study in Finance,Advanced Portfolio Management: Securities Analysis & Valuation,Valuation and Mergers & Acquisition,Measuring Success in Philanthropy and Impact Investing,Equity Research Seminar,Entrepreneurial Finance,FinTech Management,FinTech and Financial Data Analytics,Sustainability and Finance,AI, Blockchain and Quantum Computing,Advanced Household Finance,The Financial System,Economics of Blockchain Applications and Decentralized Finance,Advanced Independent Study in Finance,Advanced Independent Study in Finance (2 Units),Seminars in Finance,SIF: Private Equity,SIF: Investment Banking,SIF: Applied Portfolio Management Techniques,SIF: Family Business & Wealth Management,Banking and Household Finance,Empirical Asset Pricing and Microstructure,Independent Study Module,Corporate Finance"
FMA,"FS: Chinatowns: History and Myth,FS: Contemporary Issues in Trade Policy,FS: Australian Culture,FS: Generations,FS : The Civilization of Islam in the Malay World,FS: Meanings and Leanings: Is There a Reason Why?,FS: Love Actually?  The Social Construction of Romantic Love,Taking Risks: Economics, Psychology, and Biology,FS: Producing Nature, Consuming Nature,FS: Neuroeconomics: Brain on Money,FS: Contemplating Theme Parks,FS: War Memories: From Anne Frank to Changi Prison,FS: Decolonization in the 20th Century,FS: Travel and the Historian,FS: Biopolitics"
FSC,"Forensic Science,Evidence in Forensic Science,Articulating Probability and Statistics in Court,Forensic Human Identification,Forensic Toxicology and Poisons,Criminalistics: Evidence and Proof,Criminalistics: Authenticity, Fraud and Counterfeit,Advanced Criminal Litigation – Forensics on Trial,Forensic Entomology,Advanced Forensic Science,Experimental Forensic Science: From Data to Discovery,Survey of Forensic Science,Research Project in Forensic Science,Advanced CSI Techniques,Forensic Defense Science,Digital Forensic Investigation,Forensic Psychiatry and Psychology,Forensic Science in Major Cases,Specialized Topics in Forensic Science I,Specialised Topics in Forensics II"
FST,"Science and Technology of Foods,Chemistry of Food Components,Post Harvest Food Processing,Fundamentals of Food Engineering,Food Microbiology and Fermentation,Introduction to Human Nutrition,Food Commodities in Costa Rica,Food Commodities in Indonesia,Seafood Supply Chains in Japan and Singapore,Global Food Science & Technology Immersion Programme,Basic UROPS in Food Science & Technology I,Basic UROPS in Food Science & Technology I (REx),Basic UROPS in Food Science & Technology II,Basic UROPS in Food Science & Technology II (REx),FOS Undergraduate Professional Internship Programme 1ST,FOS Undergraduate Professional Internship Programme 2S1,FOS Undergraduate Professional Internship Programme 2S2,Food Microbiology & Fermentation,Food Safety Assurance,Advanced Food Engineering,Food Sensory, Innovation and Packaging,Sensory and Flavour Science,Sensory and Consumer Science,Food Safety and Regulation,Flavour Science,Sustainable Food Packaging,Food Analysis and Lab,Food Quality Assurance and Control,Professional Placement,Independent Study (Food Science & Tech),Independent Study (Nutrition),Nutrition and Disease Prevention,Vitamins & Minerals in Health & Diseases,Nutrition Through the Life Cycle,Current Topics in Health and Nutrition,FST Professional Placement,Advanced UROPS in Food Science & Technology I,Advanced UROPS in Food Science & Technology I (REx),Advanced UROPS in Food Science & Technology II,Advanced UROPS in Food Science & Technology II (REx),FOS Undergraduate Professional Internship Programme 2ST,Undergraduate Professional Internship Programme,FOS Undergraduate Professional Internship Programme 3S1,FOS Undergraduate Professional Internship Programme 3S2,Exchange Enrichment Course,Flavour Science,Advanced Food Processing Technology,Food Colloids and Components Science,Food Product Innovation,Honours Project in Food Science & Tech,Current Topics ( Food Science & Tech ),Nutritional Biochemistry,Food Forensics,Professional Internship in Food Science and Technology,Independent Study during Internship,Honours Project in Food Science and Technology,Applied Project in FST,FOS Undergraduate Professional Internship Programme 3ST,FOS Undergraduate Professional Internship Programme 4S1,FOS Undergraduate Professional Internship Programme 4S2,Advanced Food Science and Technology Seminar,MSc research project,MSc Research Project,Integrated Food Research Lab,Rheology and Textural Properties of Biomaterials,Advanced Food Fermentation,Modern Food Fermentation,Advanced Food Microbiology and Safety,Advanced Food Microbiological Analysis and Food Safety,Evidence Based Functional Foods,Frontier of Food Processing and Engineering,Smart & Sustainable Food Processing and Engineering,Advanced Food Toxicology and Chemical Safety,Introduction to Advanced Meat Alternatives,Food Informatics and Artificial Intelligence,Advanced Food Materials and Hydrocolloids,Advanced Current Topics in Food Science I,Advanced Current Topics in Food Science II,Advanced Current Topics in Food Science III,Advanced Current Topics in Food Science IV,Evidence Based Functional Foods,Scientific Principles of Nutraceuticals,Food, Nutrition and Health,Modern Human Nutrition,Science in Clinical Nutrition"
FT,"Fintech Innovations for Consumers,Digital Transformation at Financial Institutions,Blockchain Innovations,Programming for Blockchain Applications,Machine Learning for Finance,FinTech Capstone Project,Contemporary Topics in Blockchain Applications,Contemporary Topics in Financial Data Analytics,Algorithmic Trading Systems Design and Deployment,Deep Learning for Finance,Risk, Security and Compliance in Banking and Finance,Digital Asset Innovations in Finance,FinTech Research Immersion"
GE,"Geographical Journeys: Exploring World Environments,Methods and Practices in Geography,Politics, Economies And Space,Our Planet: An Earth System Science Perspective,Economy & Space,Introduction to GIS,Leisure, Recreation and Tourism,Politics and Space,Living Space: Introducing Social and Cultural Geography,Geospatial Analytics for Biodiversity Conservation,Geospatial Data Collection and Digital Mapping,Topics in Geography I,The Service Economy,Cities for People, not for Profit,Gender, Space & Place,Natural Resources: Policy and Practice,Applications of GIS & Remote Sensing,Globalisation and the Asian Cities,Cultural Landscapes,Tourism Development,Field Studies in Geography: SE Asia,Natural Hazards,Historical Landscapes and Heritage,Geographies of Development,Transport and Communications,GIS Design and Practices,Geographical Research: Developing Ideas,Geographies of Social Life,Conservation & Urban Tropical Ecology in SE Asia,Worlds of Work,Cities in Transition,Geographies of Life and Death,Nature and Society,Southeast Asia,Cartography and Geovisualisation,Weather and Climate,Energy Futures: Environment and Sustainability,Aquatic, Riparian and Coastal Systems,Earth Surface Processes, Landforms and Ecosystems,Financial Geographies,Geopolitics: Southeast Asia and the World,Applied Geographical Data Science,GIS Internship Course,Geography Internship,FASS Undergraduate Research Opportunity (UROP),FASS Undergraduate Research Opportunity (UROP),Department Exchange Course,Department Exchange Course,Department Exchange Course,Topics in Geography II,Remaking the Global Economy,Remaking the Global Economy,New Geographies of Urban Theory,New Geographies of Urban Theory,Coastal Management,Coastal Management,Advanced Hydrology and Water Resources Management,Advanced Hydrology and Water Resources Management,Environmental Modelling,Environmental Modelling,Cultural Geographies,Cultural Geographies,Remote Sensing of Environment,Remote Sensing of Environment,Political Geographies: Space and Power,Political Geographies: Space and Power,Interpreting Tourism Spaces and Cultures,Interpreting Tourism Spaces and Cultures,Development and Environment in Southeast Asia,Development and Environment in Southeast Asia,Field Investigation in Physical Geography,Field Investigation in Physical Geography,Field Investigation in Human Geography,Field Investigation in Human Geography,Advanced Geomorphology,Advanced Geomorphology,Development of Geographic Thought,Development of Geographic Thought,Conservation Biogeography,Conservation Biogeography,Young People and Children: Global Perspectives,Young People and Children: Global Perspectives,Mobile Spaces: Making Social Worlds,Mobile Spaces: Making Social Worlds,Climate Change: Processes, Impact and Responses,Climate Change: Processes, Impact and Responses,Gender and the City,Gender and the City,Greater China,Greater China,Urban and Regional Economies,Urban and Regional Economies,Global Political Ecologies,Global Political Ecologies,Geography in the Contemporary World,Geography in the Contemporary World,Environmental Change in the Tropics,Environmental Change in the Tropics,Urban Climates,Urban Climates,Geographies of Migration,Geographies of Migration,Environmental Pollution,Environmental Pollution,The Middle East: cities, states and territory,The Middle East: cities, states and territory,Coastal Dynamics,Coastal Dynamics,Spatial Decision-Making,Spatial Decision-Making,Spatial Health,Spatial Health,Honours Thesis,Honours Thesis,Independent Study,Independent Study,Geography Exchange Course,Topics in Geography III,Dynamic Environments,Cities and Global Connections,Tourism Impacts and Management,Geography and Social Theory,Research Methods in Environmental Sciences,Research Methods in Human Geography,Spatial Programming,Introduction to Applied GIS,Thesis Planning and Implementation,GIS Applications,Internet GIS,Spatial Big Data and Analytics,Political Ecology: People, Power, and Nature,Geospatial Statistics and Visualization,Geospatial Machine Learning and Artificial Intelligence,Infrastructure and Environment,Independent Study,Topics in Geography I,Spatial Data Science,Mapping Global Economic Change,Tourism Geographies,Discussing Human‐Environment Interactions,Transnationalism and Society: Comparative Spaces,Navigating the Boundaries Between Science and Policy,Political Geography,GIS Research Thesis,GIS Research Project,Independent Study,Graduate Research Seminar,Topics in Geography II"
GEC,"Globalisation and New Media,Chinese Music, Language and Literature (in English),Nations & Nationalism in South Asia,Pirates, Oceans and the Maritime World,Samurai, Geisha, Yakuza as Self or Other,Cultural Borrowing: Japan and China,Understanding Consumption,Geopolitics: Geographies of War & Peace,Exploring Chinese Cinema: Shanghai‐Hong Kong‐Singapore,Drugs and Society,Clean Energy and Storage,Microbes which Changed Human History,Understanding Globalisation,World Religions,Social and Cultural Studies through Music,Public Health in Action,Plants and Society,Film Art and Human Concerns,Names as Markers of Socio-cultural Identity,Religion and Film,Cultural Diversity in the Contemporary World,The Theatre Experience,Social History of the Piano,Ghosts and Spirits in Society and Culture,The Life Aquatic: Machines and the Making of the Ocean,Art in Asia: Through Media, Style, Space and Time,Culture in Action,Luck,Worlds of Football,Metropolis: The City in World History,Whatever it takes? Making War on Civilians,Home,Maverick or Mahatma? Gandhi’s Life & Legacy,Understanding the Changing Global Economic Landscape,Understanding the Changing Global Economic Landscape,Patrons of the Arts,Radiation-Scientific Understanding and Public Perception,Big Picture History,Asian Cinema: The Silent Era,International Relations of Asia,A Culture of Sustainability,A Culture of Sustainability,Crime Fiction and Film across Space & Time,Fashion: East and West,Feasting and Fasting: Global Histories of Food,Chinese Medicine: Theory and Practice,Forbidden Romance in Modern Times: East and West,Magic, Myths and Society in Southeast Asia,Death and Dying in the Human Experience,Powerful Court Women from Qing China and Other Cultures,Skyscapes: Cultural Interpretations of the Sky,Merchants, Guns and Money: The Economics of War,From Traveller to Tourist,Rome and the Genealogy of Urban Life,Fungi and Society,Exemption for GE Cultures and Connections Pillar"
